日期,PM2.5分指数,PM10分指数,O3分指数,SO2分指数,NO2分指数,CO分指数,AQI,质量评价,首要污染物
1,2015-03-10,29,45,44,12,35,17,45,优,-
2,2015-03-09,54,45,42,11,37,20,54,良,PM2.5
3,2015-03-08,35,27,32,11,63,19,63,良,NO2
4,2015-03-07,42,35,50,14,50,17,50,优,-
5,2015-03-06,35,36,40,13,45,17,45,优,-
6,2015-03-05,22,33,38,11,35,14,38,优,-
7,2015-03-04,29,49,41,13,30,18,49,优,-
8,2015-03-03,107,64,40,17,50,25,107,轻度污染,PM2.5
9,2015-03-02,142,78,75,21,64,27,142,轻度污染,PM2.5
10,2015-03-01,109,70,44,21,53,25,109,轻度污染,PM2.5
11,2015-02-28,20,18,36,9,39,14,39,优,-
12,2015-02-27,28,33,44,10,35,15,44,优,-
13,2015-02-26,69,59,43,11,38,21,69,良,PM2.5
14,2015-02-25,33,30,39,10,54,19,54,良,NO2
15,2015-02-24,60,79,48,12,32,20,79,良,PM10
16,2015-02-23,70,92,48,16,30,19,92,良,PM10
17,2015-02-22,148,91,33,15,37,30,148,轻度污染,PM2.5
18,2015-02-21,80,52,26,11,35,25,80,良,PM2.5
19,2015-02-20,22,25,45,11,18,13,45,优,-
20,2015-02-19,28,31,47,14,23,12,47,优,-
21,2015-02-18,92,80,55,20,50,25,92,良,PM2.5
22,2015-02-17,152,109,62,20,54,33,152,中度污染,PM2.5
23,2015-02-16,149,80,33,17,58,37,149,轻度污染,PM2.5
24,2015-02-15,80,62,35,14,68,25,80,良,PM2.5
25,2015-02-14,77,67,81,18,45,20,81,良,O3
26,2015-02-13,64,53,65,20,63,20,65,良,O3
27,2015-02-12,210,122,41,51,89,40,210,重度污染,PM2.5
28,2015-02-11,108,75,49,27,101,29,108,轻度污染,PM2.5
29,2015-02-10,77,55,42,21,85,22,85,良,NO2
30,2015-02-09,38,38,37,17,53,19,53,良,NO2
31,2015-02-08,62,54,41,19,34,19,62,良,PM2.5
32,2015-02-07,147,85,38,34,110,36,147,轻度污染,PM2.5
33,2015-02-06,99,72,31,34,104,30,104,轻度污染,NO2
34,2015-02-05,120,72,39,33,75,28,120,轻度污染,PM2.5
35,2015-02-04,226,125,38,55,98,38,226,重度污染,PM2.5
36,2015-02-03,52,49,18,21,83,18,83,良,NO2
37,2015-02-02,36,36,23,16,64,15,64,良,NO2
38,2015-02-01,28,35,31,18,50,14,50,优,-
39,2015-01-31,48,43,36,18,42,17,48,优,-
40,2015-01-30,94,64,31,23,53,23,94,良,PM2.5
41,2015-01-29,19,16,26,11,50,14,50,优,-
42,2015-01-28,25,34,30,15,37,15,37,优,-
43,2015-01-27,67,54,34,15,39,21,67,良,PM2.5
44,2015-01-26,128,66,27,20,63,30,128,轻度污染,PM2.5
45,2015-01-25,168,91,31,25,89,37,168,中度污染,PM2.5
46,2015-01-24,139,83,40,22,93,30,139,轻度污染,PM2.5
47,2015-01-23,139,81,40,24,79,28,139,轻度污染,PM2.5
48,2015-01-22,166,90,14,34,77,38,166,中度污染,PM2.5
49,2015-01-21,139,99,28,33,90,29,139,轻度污染,PM2.5
50,2015-01-20,43,60,39,16,60,16,60,良,PM10
51,2015-01-19,118,106,31,37,92,32,118,轻度污染,PM2.5
52,2015-01-18,115,84,33,27,93,27,115,轻度污染,PM2.5
53,2015-01-17,100,68,32,20,45,22,100,良,PM2.5
54,2015-01-16,152,94,14,27,82,31,152,中度污染,PM2.5
55,2015-01-15,102,67,16,18,73,27,102,轻度污染,PM2.5
56,2015-01-14,29,21,28,10,53,17,53,良,NO2
57,2015-01-13,25,26,24,14,60,15,60,良,NO2
58,2015-01-12,26,24,33,14,39,14,39,优,-
59,2015-01-11,249,139,42,63,112,47,249,重度污染,PM2.5
60,2015-01-10,240,150,29,57,130,56,240,重度污染,PM2.5
61,2015-01-09,203,129,22,53,124,51,203,重度污染,PM2.5
62,2015-01-08,94,72,27,41,92,28,94,良,PM2.5
63,2015-01-07,48,56,30,20,52,16,56,良,PM10
64,2015-01-06,109,79,29,21,50,26,109,轻度污染,PM2.5
65,2015-01-05,105,75,25,28,101,26,105,轻度污染,PM2.5
66,2015-01-04,169,100,18,51,121,40,169,中度污染,PM2.5
67,2015-01-03,128,90,27,40,99,31,128,轻度污染,PM2.5
68,2015-01-02,105,83,21,48,100,33,105,轻度污染,PM2.5
69,2015-01-01,52,63,31,29,55,19,63,良,PM10
70,2014-12-31,134,105,30,41,84,28,134,轻度污染,PM2.5
71,2014-12-30,172,112,25,48,115,40,172,中度污染,PM2.5
72,2014-12-29,193,126,29,51,111,43,193,中度污染,PM2.5
