   Active: active (running) since Sun 2015-01-25 00:20:33 EST; 1min 0s ago

Waiting 60 seconds after restarting neutron-server
systemctl status neutron-server.service | grep since
  
DHCP-network-0, DHCP-subnet-0, DHCP-port-0 created with 1.0.0.0/16
Added 2nd test tap interface tapefb48593-d6 in namespace of DHCP-network-0
python dhcp_entries.py -m de:ae:00:00:00:00@1.0.0.5:8200@DHCP-network-0
Added 8200 test DHCP ports to DHCP-network-0
   Active: active (running) since Sun 2015-01-25 00:36:31 EST; 1min 0s ago

Waiting 60 seconds after restarting neutron-dhcp-agent.service...

  
1 processes still running. Waited 0.0474979877472 seconds.
2 processes still running. Waited 5.09673690796 seconds.
2 processes still running. Waited 10.1445248127 seconds.
2 processes still running. Waited 15.1915988922 seconds.
2 processes still running. Waited 20.2434589863 seconds.
2 processes still running. Waited 25.2976059914 seconds.
2 processes still running. Waited 30.3442587852 seconds.
2 processes still running. Waited 35.3975009918 seconds.
2 processes still running. Waited 40.450086832 seconds.
2 processes still running. Waited 45.5029959679 seconds.
2 processes still running. Waited 50.5535478592 seconds.
2 processes still running. Waited 55.6016488075 seconds.
2 processes still running. Waited 60.6511499882 seconds.
2 processes still running. Waited 65.6970357895 seconds.
2 processes still running. Waited 70.7466628551 seconds.
2 processes still running. Waited 75.7942609787 seconds.
2 processes still running. Waited 80.8474009037 seconds.
2 processes still running. Waited 85.893475771 seconds.
2 processes still running. Waited 90.9458479881 seconds.
2 processes still running. Waited 95.9954988956 seconds.
2 processes still running. Waited 101.040885925 seconds.
2 processes still running. Waited 106.086098909 seconds.
2 processes still running. Waited 111.134248972 seconds.
2 processes still running. Waited 116.180627823 seconds.
2 processes still running. Waited 121.227086782 seconds.
2 processes still running. Waited 126.275373936 seconds.
2 processes still running. Waited 131.323529005 seconds.
2 processes still running. Waited 136.371025801 seconds.
2 processes still running. Waited 141.420957804 seconds.
2 processes still running. Waited 146.475148916 seconds.
2 processes still running. Waited 151.526228905 seconds.
2 processes still running. Waited 156.576299906 seconds.
2 processes still running. Waited 161.61893487 seconds.
2 processes still running. Waited 166.670624971 seconds.
2 processes still running. Waited 171.716943979 seconds.
2 processes still running. Waited 176.769896984 seconds.
2 processes still running. Waited 181.819920778 seconds.
2 processes still running. Waited 186.874538898 seconds.
2 processes still running. Waited 191.923280954 seconds.
2 processes still running. Waited 196.972728968 seconds.
2 processes still running. Waited 202.02045989 seconds.
2 processes still running. Waited 207.067926884 seconds.
2 processes still running. Waited 212.117434978 seconds.
2 processes still running. Waited 217.161194801 seconds.
2 processes still running. Waited 222.21020484 seconds.
2 processes still running. Waited 227.261634827 seconds.
2 processes still running. Waited 232.308928967 seconds.
2 processes still running. Waited 237.358289957 seconds.
2 processes still running. Waited 242.410948992 seconds.
2 processes still running. Waited 247.462981939 seconds.
2 processes still running. Waited 252.513609886 seconds.
2 processes still running. Waited 257.561657906 seconds.
2 processes still running. Waited 262.613088846 seconds.
2 processes still running. Waited 267.659461975 seconds.
2 processes still running. Waited 272.707773924 seconds.
2 processes still running. Waited 277.753658772 seconds.
2 processes still running. Waited 282.805228949 seconds.
2 processes still running. Waited 287.851551771 seconds.
2 processes still running. Waited 292.903553963 seconds.
2 processes still running. Waited 297.950093985 seconds.
2 processes still running. Waited 302.99574399 seconds.
2 processes still running. Waited 308.045275927 seconds.
2 processes still running. Waited 313.09519577 seconds.
2 processes still running. Waited 318.140681982 seconds.
2 processes still running. Waited 323.187561989 seconds.
2 processes still running. Waited 328.236605883 seconds.
2 processes still running. Waited 333.287427902 seconds.
2 processes still running. Waited 338.336942911 seconds.
2 processes still running. Waited 343.386839867 seconds.
2 processes still running. Waited 348.43895483 seconds.
2 processes still running. Waited 353.484802008 seconds.
2 processes still running. Waited 358.533111811 seconds.
2 processes still running. Waited 363.582623959 seconds.
2 processes still running. Waited 368.630017996 seconds.
2 processes still running. Waited 373.681180954 seconds.
2 processes still running. Waited 378.73089695 seconds.
2 processes still running. Waited 383.781365871 seconds.
2 processes still running. Waited 388.830103874 seconds.
2 processes still running. Waited 393.877644777 seconds.
2 processes still running. Waited 398.925816774 seconds.
2 processes still running. Waited 403.971139908 seconds.
2 processes still running. Waited 409.017342806 seconds.
2 processes still running. Waited 414.063124895 seconds.
2 processes still running. Waited 419.107511997 seconds.
2 processes still running. Waited 424.14862895 seconds.
2 processes still running. Waited 429.194956779 seconds.
2 processes still running. Waited 434.242371798 seconds.
2 processes still running. Waited 439.293143988 seconds.
2 processes still running. Waited 444.343197823 seconds.
2 processes still running. Waited 449.388148785 seconds.
2 processes still running. Waited 454.440253973 seconds.
